	inputReads	fwdInputQualMin	fwdInputQualMedian	fwdInputQualMean	fwdInputQualMax	revInputQualMin	revInputQualMedian	revInputQualMean	revInputQualMax	filteredReads	fwdDenoisedReads	fwdDenoisedAvgQual	fwdDenoisedAvgLen	fwdDenoisedUniqueReads	revDenoisedReads	revDenoisedAvgQual	revDenoisedAvgLen	revDenoisedUniqueReads	mergedReads	mergedReadsAvgLen	noChimReads	noChimTrimReadsOverMinLen	noChimTrimUniqueReadsOverMinLen	noChimTrimAvgLenOverMinLen	finalCleanedPerReads
B1_S20_L001	151732	2	25	24.1746112668876	38	2	25	23.8673671199011	38	83044	81003	36.37	252.88	480	81649	35.12	248.64	334	72970	402.216101694915	68568	68421	215	399.753488372093	0.4509
B2_S21_L001	128223	2	25	24.0671055963535	38	2	24	23.7395377128954	38	72985	72235	36.42	242.31	318	72092	34.95	223.88	303	58242	390.27619047619	57337	57138	164	394.384146341463	0.4456
B3_S19_L001	182171	2	25	24.1911162314388	38	2	25	23.7676434676435	38	122469	121038	36.33	254.75	326	121149	35.37	236.6	318	112796	408.750670241287	106514	106514	208	410.067307692308	0.5847
